Lkyi	きぃ
Lkye	きぇ
Lgyi	ぎぃ
Lgye	ぎぇ
Lqya	くゃ
Lqyi	くぃ
Lqyu	くゅ
Lqye	くぇ
Lqyo	くょ
Lqwa	くぁ
Lqwi	くぃ
Lqwu	くぅ
Lqwe	くぇ
Lqwo	くぉ
Lgwa	ぐぁ
Lgwi	ぐぃ
Lgwu	ぐぅ
Lgwe	ぐぇ
Lgwo	ぐぉ
Lsyi	しぃ
Ljyi	じぃ
Lswa	すぁ
Lswi	すぃ
Lswu	すぅ
Lswe	すぇ
Lswo	すぉ
Ltyi	ちぃ
Ldya	ぢゃ
Ldyi	ぢぃ
Ldyu	ぢゅ
Ldye	ぢぇ
Ldyo	ぢょ
Ldha	でゃ
Ldhe	でぇ
Ldho	でょ
Ltsa	つぁ
Ltsi	つぃ
Ltse	つぇ
Ltso	つぉ
Ltha	てゃ
Lthu	てゅ
Lthe	てぇ
Ltho	てょ
Ltwa	とぁ
Ltwi	とぃ
Ltwu	とぅ
Ltwe	とぇ
Ltwo	とぉ
Ldwa	どぁ
Ldwi	どぃ
Ldwu	どぅ
Ldwe	どぇ
Ldwo	どぉ
Lnya	にゃ
Lnyi	にぃ
Lnye	にぇ
Lhyi	ひぃ
Lhyu	ひゅ
Lhye	ひぇ
Lbyi	びぃ
Lbye	びぇ
Lpyi	ぴぃ
Lpye	ぴぇ
Lfya	ふゃ
Lfyu	ふゅ
Lfyo	ふょ
Lfwu	ふぅ
Lva	ヴぁ
Lvi	ヴぃ
Lve	ヴぇ
Lvo	ヴぉ
Lvya	ヴゃ
Lvyi	ヴぃ
Lvyu	ヴゅ
Lvye	ヴぇ
Lvyo	ヴょ
Lmya	みゃ
Lmyi	みぃ
Lmye	みぇ
Lye	いぇ
Lryi	りぃ
Lrye	りぇ
Lwha	うぁ
Luxa	うぁ
Luxu	うぅ
