Lkyi	きぃ
Lkye	きぇ
Lgya	ぎゃ
Lgyi	ぎぃ
Lgyu	ぎゅ
Lgye	ぎぇ
Lqya	くゃ
Lqyi	くぃ
Lqyu	くゅ
Lqye	くぇ
Lqyo	くょ
Lqwa	くぁ
Lqwi	くぃ
Lqwu	くぅ
Lqwe	くぇ
Lqwo	くぉ
Lgwa	ぐぁ
Lgwi	ぐぃ
Lgwu	ぐぅ
Lgwe	ぐぇ
Lgwo	ぐぉ
Lsyi	しぃ
Lsye	しぇ
Lji	じ
Ljyi	じぃ
Lswa	すぁ
Lswi	すぃ
Lswu	すぅ
Lswe	すぇ
Lswo	すぉ
Ltyi	ちぃ
Ltye	ちぇ
Ldya	ぢゃ
Ldyi	ぢぃ
Ldyu	ぢゅ
Ldye	ぢぇ
Ldyo	ぢょ
Ldha	でゃ
Ldhu	でゅ
Ldhe	でぇ
Ldho	でょ
Ltsa	つぁ
Ltsi	つぃ
Ltsu	つ
Ltse	つぇ
Ltso	つぉ
Ltha	てゃ
Lthu	てゅ
Lthe	てぇ
Ltho	てょ
Ltwa	とぁ
Ltwi	とぃ
Ltwu	とぅ
Ltwe	とぇ
Ltwo	とぉ
Ldwa	どぁ
Ldwi	どぃ
Ldwu	どぅ
Ldwe	どぇ
Ldwo	どぉ
Lnya	にゃ
Lnyi	にぃ
Lnye	にぇ
Lnyo	にょ
Lhya	ひゃ
Lhyi	ひぃ
Lｈｙｕ	ひゅ
Lhye	ひぇ
Lbyi	びぃ
Lbyu	びゅ
Lbye	びぇ
Lpya	ぴゃ
Lpyi	ぴぃ
Lpyu	ぴゅ
Lpye	ぴぇ
Lpyo	ぴょ
Lfya	ふゃ
Lfyi	ふぃ
Lfyu	ふゅ
Lfye	ふぇ
Lfyo	ふょ
Lfi	ふぃ
Lfu	ふ
Lfe	ふぇ
Lfwi	ふぃ
Lfwu	ふぅ
Lfwe	ふぇ
Lva	ヴぁ
Lvi	ヴぃ
Lvu	ヴ
Lve	ヴぇ
Lvo	ヴぉ
Lvya	ヴゃ
Lvyi	ヴぃ
Lvyu	ヴゅ
Lvye	ヴぇ
Lvyo	ヴょ
Lmya	みゃ
Lmyi	みぃ
Lmye	みぇ
Lya	や
Lyi	い
Lyu	ゆ
Lye	いぇ
Lyo	よ
Lrya	りゃ
Lryi	りぃ
Lrye	りぇ
Lwa	わ
Lwi	うぃ
Lwu	う
Lwe	うぇ
Lwo	を
Lwha	うぁ
Lwhi	うぃ
Lwhu	う
Lwhe	うぇ
Lwho	うぉ
Luxa	うぁ
Luxi	うぃ
Luxu	うぅ
Luxe	うぇ
Luxo	うぉ
